countryiso3code,country_name,internet_usage_pct,internet_usage_pct_year,mobile_subscriptions_per_100_year,mobile_subscriptions_per_100,population_year,population,gdp_per_capita_year,gdp_per_capita,rural_population_pct_year,rural_population_pct,latest_year,earliest_year,year_spread,complete_core_data,usage_gap_pp,population_affected_est,gap_score,population_impact_score,rural_score,economic_vulnerability_score,priority_score,priority_band,data_confidence,priority_score_alt,rank_base,rank_alt,rank_change,diagnostic_segment,display_rank
TZA,Tanzania,31.16209984,2024,2024,126.559163217786,2025,70545865.0,2025,1318.81921386719,2025,63.1166884063357,2025,2024,1,True,48.83790016,34453119.11570838,88.72549019607843,96.56862745098039,83.33333333333334,86.76470588235294,89.87745098039215,Higher,High,90.66176470588236,14.0,14.0,0.0,Rural / access investigation,14
BFA,Burkina Faso,28.25270081,2024,2024,116.5895933212,2025,24074580.0,2025,1147.57131635601,2025,71.0773639280915,2025,2024,1,True,51.74729919,12457944.941335902,90.19607843137256,88.72549019607843,91.17647058823529,89.70588235294117,89.80392156862744,Higher,High,89.65686274509804,15.0,15.0,0.0,Rural / access investigation,15
ZMB,Zambia,17.10099983,2024,2024,108.704779873813,2025,21913874.0,2025,1317.87771619597,2025,54.0828489838539,2025,2024,1,True,62.89900017,13783607.644513585,96.56862745098039,90.19607843137256,73.0392156862745,87.25490196078431,89.26470588235294,Higher,High,88.62745098039217,16.0,16.0,0.0,Rural / access investigation,16
CAF,Central African Republic,13.78250027,2024,2022,38.8217901039988,2025,5513282.0,2025,556.131398031455,2025,55.4467843318184,2025,2022,3,True,66.21749973,3650757.4934641374,98.0392156862745,78.92156862745098,75.0,98.52941176470588,88.94607843137254,Higher,Medium,87.0343137254902,17.0,20.0,-3.0,Rural / access investigation,17
PNG,Papua New Guinea,18.81159973,2024,2024,38.7651796406789,2025,10762817.0,2025,3019.5309140573,2025,84.2202551319724,2025,2024,1,True,61.18840027,6585595.546287606,94.11764705882352,83.33333333333334,99.50980392156863,75.98039215686275,88.06372549019608,Higher,High,86.98529411764706,18.0,21.0,-3.0,Rural / access investigation,18
RWA,Rwanda,31.70330048,2024,2024,93.201462876722,2025,14569341.0,2025,1123.73874633225,2025,69.0866159071838,2025,2024,1,True,48.29669952,7036510.844814164,88.23529411764706,84.31372549019608,89.70588235294117,90.68627450980392,87.76960784313725,Higher,High,87.37745098039215,19.0,19.0,0.0,Rural / access investigation,19
KEN,Kenya,34.97622513,2024,2024,126.477706000949,2025,57532493.0,2025,2362.86091198611,2025,67.7878807128255,2025,2024,1,True,45.02377487,25903300.125418507,85.29411764705883,94.6078431372549,87.74509803921569,79.41176470588235,87.27941176470588,Higher,High,88.2107843137255,20.0,17.0,3.0,Rural / access investigation,20
SOM,"Somalia, Fed. Rep.",27.94020081,2024,2023,53.9579646939598,2025,19654739.0,2025,661.173877723116,2025,44.8600937127024,2025,2023,2,True,52.05979919,10232217.654718611,90.68627450980392,86.76470588235294,66.17647058823529,96.56862745098039,87.00980392156862,Higher,Medium,86.61764705882354,21.0,25.0,-4.0,Rural / access investigation,21
MMR,Myanmar,45.4477005,2020,2024,114.329042129489,2025,54850648.0,2025,1488.87527836542,2025,69.4163084523233,2025,2020,5,True,34.5522995,18952160.17465076,80.3921568627451,92.64705882352942,90.19607843137256,85.29411764705883,86.51960784313725,Higher,Low,87.74509803921569,22.0,18.0,4.0,Rural / access investigation,22
MLI,Mali,36.80149841,2024,2022,112.119852778009,2025,25198821.0,2025,1193.27601004701,2025,67.7872862816011,2025,2022,3,True,43.19850159,10885513.090346253,83.82352941176471,87.74509803921569,87.25490196078431,88.72549019607843,86.49509803921569,Higher,Medium,86.8872549019608,23.0,22.0,1.0,Rural / access investigation,23
SLE,Sierra Leone,25.10499954,2024,2022,107.882000873042,2025,8819794.0,2025,846.296172499617,2025,54.0732218643319,2025,2022,3,True,54.89500046,4841625.956871052,91.17647058823529,81.37254901960785,72.54901960784314,94.6078431372549,86.12745098039214,Higher,Medium,85.1470588235294,24.0,27.0,-3.0,Rural / access investigation,24
GIN,Guinea,33.30469894,2024,2023,97.8794996455513,2025,15099727.0,2025,1877.2541220972,2025,61.4834665533438,2025,2023,2,True,46.69530106,7050862.981888106,86.76470588235294,84.80392156862744,81.86274509803921,82.84313725490196,84.65686274509804,Higher,Medium,84.4607843137255,25.0,28.0,-3.0,Rural / access investigation,25
PAK,Pakistan,57.253,2024,2024,76.8544559649986,2025,255219554.0,2025,1595.90912252837,2025,60.4743989020394,2025,2024,1,True,22.747,58054791.94838,75.0,98.0392156862745,80.3921568627451,84.31372549019608,84.58333333333333,Higher,High,86.88725490196079,26.0,23.0,3.0,Rural / access investigation,26
BGD,Bangladesh,53.42171316,2024,2024,108.077037369691,2025,175686899.0,2025,2597.34352335275,2025,66.7604152956025,2025,2024,1,True,26.57828684,46694567.95652108,76.47058823529412,97.54901960784314,86.27450980392157,77.94117647058823,84.55882352941177,Higher,High,86.66666666666667,27.0,24.0,3.0,Rural / access investigation,27
NGA,Nigeria,41.21139908,2024,2024,70.7619057835431,2025,237527782.0,2025,1224.25410237743,2025,36.2245819532128,2025,2024,1,True,38.78860092,92133703.4341076,81.86274509803921,99.50980392156863,50.98039215686274,87.74509803921569,83.70098039215685,Higher,High,85.4656862745098,28.0,26.0,2.0,Rural / access investigation,28
LBR,Liberia,32.23360062,2024,2022,32.0638885570006,2025,5731206.0,2025,915.328972645548,2025,43.9180252840662,2025,2022,3,True,47.76639938,2737590.747250523,87.74509803921569,77.45098039215686,63.23529411764706,94.11764705882354,82.25490196078431,Higher,Medium,81.22549019607844,29.0,31.0,-2.0,Rural / access investigation,29
BEN,Benin,33.98379898,2024,2024,125.940873932186,2025,14814460.0,2025,1658.27312662991,2025,46.6379926031812,2025,2024,1,True,46.01620102,6817051.693627491,85.7843137254902,83.82352941176471,67.64705882352942,83.33333333333334,81.98529411764706,Higher,High,81.78921568627452,30.0,30.0,0.0,Rural / access investigation,30
GNB,Guinea-Bissau,29.77739906,2024,2024,147.197631273872,2025,2249515.0,2025,1123.76679992349,2025,53.3489684718708,2025,2024,1,True,50.22260094,1129764.941535441,89.2156862745098,73.0392156862745,72.05882352941177,90.19607843137254,81.98529411764704,Higher,High,80.36764705882354,31.0,37.0,-6.0,Rural / access investigation,31
TLS,Timor-Leste,35.04199982,2021,2024,116.382391453038,2025,1418517.0,2025,1340.9640193437,2025,71.2135681039065,2025,2021,4,True,44.95800018,637736.8754133306,84.80392156862744,69.6078431372549,91.66666666666666,86.27450980392157,81.56862745098039,Higher,Low,80.04901960784315,32.0,39.0,-7.0,Rural / access investigation,32
